ten,category,hang,gia,thong_so,link_hinh_anh,ten_ram,loai_ram,dung_luong,gia_vnd,ten_cpu,ten_mainboard,ten_vga,ten_ssd,ten_hdd,ten_case,ten_psu
"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",CPU,Intel,3890000,"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3890000,"CPU Intel Core i5 13400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",,,,,,
"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",CPU,Intel,4290000,"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4290000,"CPU Intel Core i5 13400F | LGA 1700, 10 nhân/16 luồng, Max 4.6 GHz",,,,,,
"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",CPU,Intel,6690000,"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6690000,"CPU Intel Core i5 14400 Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",,,,,,
"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",CPU,Intel,4090000,"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4090000,"CPU Intel Core i5 14400F Tray VAT | LGA 1700, 10 nhân/16 luồng, Max 4.7 GHz",,,,,,
"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",CPU,Intel,6190000,"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6190000,"CPU Intel Core i5 14600KF Tray VAT | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",,,,,,
"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",CPU,Intel,6350000,"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6350000,"CPU Intel Core i5 14600KF | LGA 1700, 14 nhân/20 luồng, Max 5.3 GHz",,,,,,
CPU Intel Core i5-12400 Tray Chính Hãng (No Box),CPU,Intel,4890000,CPU Intel Core i5-12400 Tray Chính Hãng (No Box),https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4890000,CPU Intel Core i5-12400 Tray Chính Hãng (No Box),,,,,,
CPU Intel Core i5-14600K Tray Chính Hãng (No Box),CPU,Intel,6290000,CPU Intel Core i5-14600K Tray Chính Hãng (No Box),https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6290000,CPU Intel Core i5-14600K Tray Chính Hãng (No Box),,,,,,
"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",CPU,Intel,6539000,"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6539000,"CPU Intel Core i7 10700K | LGA 1200, 8 nhân/16 luồng, Max 5.1 GHz",,,,,,
"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",CPU,Intel,7790000,"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,7790000,"CPU Intel Core i7 12700 Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",,,,,,
"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",CPU,Intel,6990000,"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6990000,"CPU Intel Core i7 12700F Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",,,,,,
"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",CPU,Intel,6990000,"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6990000,"CPU Intel Core i7 12700F | LGA 1700, 12 nhân/20 luồng, Max 4.9 GHz",,,,,,
"CPU Intel Core i7 12700K Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",CPU,Intel,7190000,"CPU Intel Core i7 12700K Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,7190000,"CPU Intel Core i7 12700K Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",,,,,,
"CPU Intel Core i7 12700K | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",CPU,Intel,8090000,"CPU Intel Core i7 12700K | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,8090000,"CPU Intel Core i7 12700K | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",,,,,,
"CPU Intel Core i7 12700KF Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",CPU,Intel,6590000,"CPU Intel Core i7 12700KF Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6590000,"CPU Intel Core i7 12700KF Tray VAT | LGA 1700, 12 nhân/20 luồng, Max 5.0 GHz",,,,,,
"CPU Intel Core i7 13700K | LGA 1700, 16 nhân/24 luồng, Max 5.4 GHz",CPU,Intel,8590000,"CPU Intel Core i7 13700K | LGA 1700, 16 nhân/24 luồng, Max 5.4 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,8590000,"CPU Intel Core i7 13700K | LGA 1700, 16 nhân/24 luồng, Max 5.4 GHz",,,,,,
"CPU Intel Core i7 13700KF | LGA1700, 16 nhân/24 luồng, Max 5.4 GHz",CPU,Intel,10299000,"CPU Intel Core i7 13700KF | LGA1700, 16 nhân/24 luồng, Max 5.4 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,10299000,"CPU Intel Core i7 13700KF | LGA1700, 16 nhân/24 luồng, Max 5.4 GHz",,,,,,
"CPU Intel Core i7 14700F Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",CPU,Intel,8090000,"CPU Intel Core i7 14700F Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,8090000,"CPU Intel Core i7 14700F Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",,,,,,
"CPU Intel Core i7 14700F | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",CPU,Intel,8490000,"CPU Intel Core i7 14700F | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,8490000,"CPU Intel Core i7 14700F | LGA 1700, 20 nhân/28 luồng, Max 5.4 GHz",,,,,,
"CPU Intel Core i7 14700K Công Ty | Up to 5.6GHz, 20 cores 28 threads",CPU,Intel,10990000,"CPU Intel Core i7 14700K Công Ty | Up to 5.6GHz, 20 cores 28 threads",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,10990000,"CPU Intel Core i7 14700K Công Ty | Up to 5.6GHz, 20 cores 28 threads",,,,,,
"CPU Intel Core i7 14700K Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",CPU,Intel,10790000,"CPU Intel Core i7 14700K Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,10790000,"CPU Intel Core i7 14700K Tray VAT | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",,,,,,
"CPU Intel Core i7 14700K | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",CPU,Intel,11690000,"CPU Intel Core i7 14700K | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,11690000,"CPU Intel Core i7 14700K | LGA 1700, 20 nhân/28 luồng, Max 5.6 GHz",,,,,,
"CPU Intel Core i7 9700F Tray | LGA1151, 8 nhân/8 luồng, Max 4.7 GHz",CPU,Intel,2986000,"CPU Intel Core i7 9700F Tray | LGA1151, 8 nhân/8 luồng, Max 4.7 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2986000,"CPU Intel Core i7 9700F Tray | LGA1151, 8 nhân/8 luồng, Max 4.7 GHz",,,,,,
CPU Intel Core i7-12700 Tray Chính Hãng (No Box),CPU,Intel,7990000,CPU Intel Core i7-12700 Tray Chính Hãng (No Box),https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,7990000,CPU Intel Core i7-12700 Tray Chính Hãng (No Box),,,,,,
CPU Intel Core i7-14700 Tray Chính Hãng (No Box),CPU,Intel,11390000,CPU Intel Core i7-14700 Tray Chính Hãng (No Box),https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,11390000,CPU Intel Core i7-14700 Tray Chính Hãng (No Box),,,,,,
"CPU Intel Core i9 14900K | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",CPU,Intel,13590000,"CPU Intel Core i9 14900K | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,13590000,"CPU Intel Core i9 14900K | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",,,,,,
"CPU Intel Core i9 14900KF | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",CPU,Intel,12390000,"CPU Intel Core i9 14900KF | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,12390000,"CPU Intel Core i9 14900KF | LGA 1700, 24 nhân/32 luồng, Max 5.6 GHz",,,,,,
"CPU Intel Core i9 9820X | LGA 2066, 10 nhân/20 luồng, Max 4.1 GHz",CPU,Intel,11990000,"CPU Intel Core i9 9820X | LGA 2066, 10 nhân/20 luồng, Max 4.1 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,11990000,"CPU Intel Core i9 9820X | LGA 2066, 10 nhân/20 luồng, Max 4.1 GHz",,,,,,
"CPU Intel Core i9 9940X | LGA 2066, 14 nhân/28 luồng, Max 4.5 GHz",CPU,Intel,12990000,"CPU Intel Core i9 9940X | LGA 2066, 14 nhân/28 luồng, Max 4.5 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,12990000,"CPU Intel Core i9 9940X | LGA 2066, 14 nhân/28 luồng, Max 4.5 GHz",,,,,,
"CPU Intel Core Ultra 5 225 | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",CPU,Intel,4690000,"CPU Intel Core Ultra 5 225 | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4690000,"CPU Intel Core Ultra 5 225 | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",,,,,,
"CPU Intel Core Ultra 5 225F | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",CPU,Intel,4290000,"CPU Intel Core Ultra 5 225F | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4290000,"CPU Intel Core Ultra 5 225F | FCLGA1851, 10 nhân/10 luồng, Max 4.9 GHz",,,,,,
"CPU Intel Core Ultra 5 235 | FCLGA1851, 14 nhân/14 luồng, Max 5.0 GHz",CPU,Intel,7099000,"CPU Intel Core Ultra 5 235 | FCLGA1851, 14 nhân/14 luồng, Max 5.0 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,7099000,"CPU Intel Core Ultra 5 235 | FCLGA1851, 14 nhân/14 luồng, Max 5.0 GHz",,,,,,
"CPU Intel Core Ultra 5 245K | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",CPU,Intel,6190000,"CPU Intel Core Ultra 5 245K | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,6190000,"CPU Intel Core Ultra 5 245K | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",,,,,,
"CPU Intel Core Ultra 5 245KF Tray VAT | LGA 1851, 14 nhân/14 luồng, Max 5.2GHz",CPU,Intel,5090000,"CPU Intel Core Ultra 5 245KF Tray VAT | LGA 1851, 14 nhân/14 luồng, Max 5.2GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,5090000,"CPU Intel Core Ultra 5 245KF Tray VAT | LGA 1851, 14 nhân/14 luồng, Max 5.2GHz",,,,,,
"CPU Intel Core Ultra 5 245KF | LGA 1851, 14 nhân/14 luồng, Max 5.2 GHz",CPU,Intel,7690000,"CPU Intel Core Ultra 5 245KF | LGA 1851, 14 nhân/14 luồng, Max 5.2 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,7690000,"CPU Intel Core Ultra 5 245KF | LGA 1851, 14 nhân/14 luồng, Max 5.2 GHz",,,,,,
"CPU Intel Core Ultra 5 245KF | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",CPU,Intel,5990000,"CPU Intel Core Ultra 5 245KF | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,5990000,"CPU Intel Core Ultra 5 245KF | LGA1851, 14 nhân/14 luồng, Max 5.2 GHz",,,,,,
"CPU Intel Core Ultra 7 265 | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",CPU,Intel,9590000,"CPU Intel Core Ultra 7 265 | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,9590000,"CPU Intel Core Ultra 7 265 | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",,,,,,
"CPU Intel Core Ultra 7 265K Tray VAT | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",CPU,Intel,8290000,"CPU Intel Core Ultra 7 265K Tray VAT | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,8290000,"CPU Intel Core Ultra 7 265K Tray VAT | LGA 1851, 20 nhân/20 luồng, Max 5.5 GHz",,,,,,
"CPU Intel Core Ultra 9 285K | LGA 1851, 24 nhân/24 luồng, Max 5.7 GHz",CPU,Intel,16090000,"CPU Intel Core Ultra 9 285K | LGA 1851, 24 nhân/24 luồng, Max 5.7 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,16090000,"CPU Intel Core Ultra 9 285K | LGA 1851, 24 nhân/24 luồng, Max 5.7 GHz",,,,,,
"CPU Intel Pentium G6405 | LGA1200, 2 nhân/4 luồng",CPU,Intel,2090000,"CPU Intel Pentium G6405 | LGA1200, 2 nhân/4 luồng",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2090000,"CPU Intel Pentium G6405 | LGA1200, 2 nhân/4 luồng",,,,,,
"CPU Intel Pentium Gold G6405 Tray VAT | LGA1200, 2 nhân/4 luồng, Max",CPU,Intel,1190000,"CPU Intel Pentium Gold G6405 Tray VAT | LGA1200, 2 nhân/4 luồng, Max",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1190000,"CPU Intel Pentium Gold G6405 Tray VAT | LGA1200, 2 nhân/4 luồng, Max",,,,,,
"CPU Intel Xeon E5 2670 V3 Tray | LGA2011, 12 nhân/24 luồng, Max 3.1 GHz",CPU,Intel,1489000,"CPU Intel Xeon E5 2670 V3 Tray | LGA2011, 12 nhân/24 luồng, Max 3.1 GHz",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1489000,"CPU Intel Xeon E5 2670 V3 Tray | LGA2011, 12 nhân/24 luồng, Max 3.1 GHz",,,,,,
"Mainboard AIWOLF AW-H310D4 (PN 966868310) | LGA 1151, mATX, 2 khe RAM",Mainboard,Unknown,1250000,"Mainboard AIWOLF AW-H310D4 (PN 966868310) | LGA 1151, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1250000,,"Mainboard AIWOLF AW-H310D4 (PN 966868310) | LGA 1151, mATX, 2 khe RAM",,,,,
"Mainboard AIWOLF AW-H510D4 (PN 966868510) | LGA 1200, mATX, 2 khe RAM",Mainboard,Unknown,1490000,"Mainboard AIWOLF AW-H510D4 (PN 966868510) | LGA 1200, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1490000,,"Mainboard AIWOLF AW-H510D4 (PN 966868510) | LGA 1200, mATX, 2 khe RAM",,,,,
"Mainboard ASRock A520M-HVS | AM4, Micro-ATX, 2 khe RAM",Mainboard,ASRock,1340000,"Mainboard ASRock A520M-HVS | AM4, Micro-ATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1340000,,"Mainboard ASRock A520M-HVS | AM4, Micro-ATX, 2 khe RAM",,,,,
"Mainboard ASRock A520M.AC Wifi DDR4 | AM4, ATX, 2 khe RAM",Mainboard,ASRock,1580000,"Mainboard ASRock A520M.AC Wifi DDR4 | AM4, ATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1580000,,"Mainboard ASRock A520M.AC Wifi DDR4 | AM4, ATX, 2 khe RAM",,,,,
"Mainboard ASRock A620AM-HVS DDR5 | AM5, mATX, 2 khe RAM",Mainboard,ASRock,1850000,"Mainboard ASRock A620AM-HVS DDR5 | AM5, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1850000,,"Mainboard ASRock A620AM-HVS DDR5 | AM5, mATX, 2 khe RAM",,,,,
"Mainboard ASRock B550M PRO SE DDR4 | AM4, mATX, 4 khe RAM",Mainboard,ASRock,2490000,"Mainboard ASRock B550M PRO SE DDR4 | AM4, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2490000,,"Mainboard ASRock B550M PRO SE DDR4 | AM4, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B550M Pro4 DDR4 | AM4, mATX, 4 khe RAM",Mainboard,ASRock,2390000,"Mainboard ASRock B550M Pro4 DDR4 | AM4, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2390000,,"Mainboard ASRock B550M Pro4 DDR4 | AM4, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B650M Pro RS Wifi DDR5 | AM5, mATX, 4 khe RAM",Mainboard,ASRock,3450000,"Mainboard ASRock B650M Pro RS Wifi DDR5 | AM5, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3450000,,"Mainboard ASRock B650M Pro RS Wifi DDR5 | AM5, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B650M-HDV/M.2 DDR5 | AM5, mATX, 2 khe RAM",Mainboard,ASRock,2890000,"Mainboard ASRock B650M-HDV/M.2 DDR5 | AM5, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2890000,,"Mainboard ASRock B650M-HDV/M.2 DDR5 | AM5, mATX, 2 khe RAM",,,,,
"Mainboard ASRock B650M-HDV/M.2 White DDR5 | AM5, mATX, 2 khe RAM",Mainboard,ASRock,2890000,"Mainboard ASRock B650M-HDV/M.2 White DDR5 | AM5, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2890000,,"Mainboard ASRock B650M-HDV/M.2 White DDR5 | AM5, mATX, 2 khe RAM",,,,,
"Mainboard ASRock B760M PG Lightning DDR5 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,2799000,"Mainboard ASRock B760M PG Lightning DDR5 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2799000,,"Mainboard ASRock B760M PG Lightning DDR5 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M PG Riptide DDR5 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,3390000,"Mainboard ASRock B760M PG Riptide DDR5 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3390000,,"Mainboard ASRock B760M PG Riptide DDR5 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Pro RS DDR4 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,2790000,"Mainboard ASRock B760M Pro RS DDR4 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2790000,,"Mainboard ASRock B760M Pro RS DDR4 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Pro RS DDR5 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,2850000,"Mainboard ASRock B760M Pro RS DDR5 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2850000,,"Mainboard ASRock B760M Pro RS DDR5 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Pro RS Wifi DDR4 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,3090000,"Mainboard ASRock B760M Pro RS Wifi DDR4 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3090000,,"Mainboard ASRock B760M Pro RS Wifi DDR4 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Pro RS Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,3290000,"Mainboard ASRock B760M Pro RS Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3290000,,"Mainboard ASRock B760M Pro RS Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Pro-A WiFi DDR5 | LGA1700, Micro-ATX, 4 khe RAM",Mainboard,ASRock,2750000,"Mainboard ASRock B760M Pro-A WiFi DDR5 | LGA1700, Micro-ATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2750000,,"Mainboard ASRock B760M Pro-A WiFi DDR5 | LGA1700, Micro-ATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M Steel Legend Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",Mainboard,ASRock,3740000,"Mainboard ASRock B760M Steel Legend Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3740000,,"Mainboard ASRock B760M Steel Legend Wifi DDR5 | LGA 1700, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B760M-HDV/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",Mainboard,ASRock,2090000,"Mainboard ASRock B760M-HDV/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,2090000,,"Mainboard ASRock B760M-HDV/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",,,,,
"Mainboard ASRock B850M Pro-A Wifi DDR5 | AM5, mATX, 4 khe RAM",Mainboard,ASRock,3990000,"Mainboard ASRock B850M Pro-A Wifi DDR5 | AM5, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,3990000,,"Mainboard ASRock B850M Pro-A Wifi DDR5 | AM5, mATX, 4 khe RAM",,,,,
"Mainboard ASRock B860M Steel Legend Wifi DDR5 | LGA 1851, mATX, 4 khe RAM",Mainboard,ASRock,4990000,"Mainboard ASRock B860M Steel Legend Wifi DDR5 | LGA 1851, mATX, 4 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,4990000,,"Mainboard ASRock B860M Steel Legend Wifi DDR5 | LGA 1851, mATX, 4 khe RAM",,,,,
"Mainboard ASRock H510M-A/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",Mainboard,ASRock,1490000,"Mainboard ASRock H510M-A/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1490000,,"Mainboard ASRock H510M-A/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",,,,,
"Mainboard ASRock H510M-H2/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",Mainboard,ASRock,1390000,"Mainboard ASRock H510M-H2/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1390000,,"Mainboard ASRock H510M-H2/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",,,,,
"Mainboard ASRock H610M-H2/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",Mainboard,ASRock,1490000,"Mainboard ASRock H610M-H2/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,,,,1490000,,"Mainboard ASRock H610M-H2/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",,,,,
