ten,category,hang,gia,thong_so,link_hinh_anh,ten_ram,loai_ram,dung_luong,gia_vnd,ten_cpu,ten_mainboard,ten_vga,ten_ssd,ten_hdd,ten_case,ten_psu
"RAM Laptop Corsair Vengeance 32GB DDR5 Black | (1x32GB), 5600MHz CMSX32GX5M1A5600C48",RAM,,11500000,32GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Corsair Vengeance 32GB DDR5 Black | (1x32GB), 5600MHz CMSX32GX5M1A5600C48",DDR5,32GB,11500000,,,,,,,
"RAM Laptop Crucial 16GB DDR5 | (1x16GB), 5600MHz CT16G56C46S5",RAM,,5390000,16GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Crucial 16GB DDR5 | (1x16GB), 5600MHz CT16G56C46S5",DDR5,16GB,5390000,,,,,,,
"RAM Laptop Crucial 32GB DDR5 | (1x32GB), 4800MHz CT32G48C40S5",RAM,,7590000,32GB 4800MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Crucial 32GB DDR5 | (1x32GB), 4800MHz CT32G48C40S5",DDR5,32GB,7590000,,,,,,,
"RAM Laptop Crucial 8GB DDR4 | (1x8GB), 3200MHz CT8G4SFRA32A",RAM,,2190000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Crucial 8GB DDR4 | (1x8GB), 3200MHz CT8G4SFRA32A",DDR4,8GB,2190000,,,,,,,
"RAM Laptop Crucial 8GB DDR5 | (1x8GB), 5600MHz CT8G56C46S5",RAM,,2990000,8GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Crucial 8GB DDR5 | (1x8GB), 5600MHz CT8G56C46S5",DDR5,8GB,2990000,,,,,,,
"RAM Laptop Crucial Crucial 32GB DDR5 | (1x32GB), 5600MHz CT32G56C46S5",RAM,,11590000,32GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Crucial Crucial 32GB DDR5 | (1x32GB), 5600MHz CT32G56C46S5",DDR5,32GB,11590000,,,,,,,
"RAM Laptop Faspeed 16GB DDR5 | (1x16GB), 4800MHz (N5-48-16GAZ)",RAM,,3790000,16GB 4800MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Faspeed 16GB DDR5 | (1x16GB), 4800MHz (N5-48-16GAZ)",DDR5,16GB,3790000,,,,,,,
"RAM Laptop G.SKILL Ripjaws 16GB DDR4 | (1x16GB), 3200MHz F4-3200C22S-16GRS",RAM,,3950000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop G.SKILL Ripjaws 16GB DDR4 | (1x16GB), 3200MHz F4-3200C22S-16GRS",DDR4,16GB,3950000,,,,,,,
"RAM Laptop G.SKILL Ripjaws 8GB DDR4 | (1x8GB), 3200MHz F4-3200C22S-8GRS",RAM,,2190000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop G.SKILL Ripjaws 8GB DDR4 | (1x8GB), 3200MHz F4-3200C22S-8GRS",DDR4,8GB,2190000,,,,,,,
RAM Laptop Hiksemi Hiker 16GB DDR5 4800MHz SODIMM (HSC516S48Z1-16G),RAM,,3990000,16GB 4800MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,RAM Laptop Hiksemi Hiker 16GB DDR5 4800MHz SODIMM (HSC516S48Z1-16G),DDR5,16GB,3990000,,,,,,,
"RAM Laptop Kingston 16GB DDR4 | (1x16GB), 3200MHz KVR32S22D8/16WP",RAM,,3950000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston 16GB DDR4 | (1x16GB), 3200MHz KVR32S22D8/16WP",DDR4,16GB,3950000,,,,,,,
"RAM Laptop Kingston 8GB DDR4 | (1x8GB), 3200MHz KVR32S22S8/8WP",RAM,,2190000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston 8GB DDR4 | (1x8GB), 3200MHz KVR32S22S8/8WP",DDR4,8GB,2190000,,,,,,,
"RAM Laptop Kingston ValueRAM 16GB DDR4 | (1x16GB), 3200MHz KVR32S22S8/16",RAM,,3950000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston ValueRAM 16GB DDR4 | (1x16GB), 3200MHz KVR32S22S8/16",DDR4,16GB,3950000,,,,,,,
"RAM Laptop Kingston ValueRAM 16GB DDR5 | (1x16GB), 5600MHz KVR56S46BS8-16",RAM,,5790000,16GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston ValueRAM 16GB DDR5 | (1x16GB), 5600MHz KVR56S46BS8-16",DDR5,16GB,5790000,,,,,,,
"RAM Laptop Kingston ValueRAM 8GB DDR4 | (1x8GB), 3200MHz KVR32S22S8/8",RAM,,2190000,8GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston ValueRAM 8GB DDR4 | (1x8GB), 3200MHz KVR32S22S8/8",DDR4,8GB,2190000,,,,,,,
"RAM Laptop Kingston ValueRAM 8GB DDR5 | (1x8GB), 5600MHz KVR56S46BS6-8",RAM,,2990000,8GB 5600MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Kingston ValueRAM 8GB DDR5 | (1x8GB), 5600MHz KVR56S46BS6-8",DDR5,8GB,2990000,,,,,,,
"RAM Laptop Lexar Ares 16GB DDR4 | (1x16GB), 3200MHz LD4AS016G-B3200GSST",RAM,,3850000,16GB 3200MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Lexar Ares 16GB DDR4 | (1x16GB), 3200MHz LD4AS016G-B3200GSST",DDR4,16GB,3850000,,,,,,,
"RAM Laptop Lexar Ares 16GB DDR5 | (1x16GB), 4800MHz LD5DS016G-B4800GSST",RAM,,3990000,16GB 4800MHz,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,"RAM Laptop Lexar Ares 16GB DDR5 | (1x16GB), 4800MHz LD5DS016G-B4800GSST",DDR5,16GB,3990000,,,,,,,
