ten_mainboard,hang,thong_so,gia_vnd,link_hinh_anh,category
"Mainboard ASRock H510M-A/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H510M-A/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",1490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock H510M-H2/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H510M-H2/M.2 SE DDR4 | LGA 1200, mATX, 2 khe RAM",1390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock H610M-H2/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H610M-H2/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",1490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock H610M-H2/M.2 DDR5 | LGA 1700, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H610M-H2/M.2 DDR5 | LGA 1700, mATX, 2 khe RAM",1699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock H610M-HVS/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H610M-HVS/M.2 DDR4 | LGA 1700, mATX, 2 khe RAM",1480000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock H610M/AC Wifi DDR4 | LGA 1700, mATX, 2 khe RAM",ASRock,"Mainboard ASRock H610M/AC Wifi DDR4 | LGA 1700, mATX, 2 khe RAM",1890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock X570S PG Riptide DDR4 | AM4, ATX, 4 khe RAM",ASRock,"Mainboard ASRock X570S PG Riptide DDR4 | AM4, ATX, 4 khe RAM",3040000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock X870 Pro RS Wifi DDR5 | AM5, ATX, 4 khe RAM",ASRock,"Mainboard ASRock X870 Pro RS Wifi DDR5 | AM5, ATX, 4 khe RAM",5800000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock X870 Steel Legend Wifi DDR5 | AM5, ATX, 4 khe RAM",ASRock,"Mainboard ASRock X870 Steel Legend Wifi DDR5 | AM5, ATX, 4 khe RAM",7390000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock X870E Nova Wifi DDR5 | AM5, ATX, 4 khe RAM",ASRock,"Mainboard ASRock X870E Nova Wifi DDR5 | AM5, ATX, 4 khe RAM",10740000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z690 PG Riptide DDR4 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z690 PG Riptide DDR4 | LGA 1700, ATX, 4 khe RAM",3999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z690 Steel Legend DDR4 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z690 Steel Legend DDR4 | LGA 1700, ATX, 4 khe RAM",4899000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z690 Taichi Razer Edition DDR5 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z690 Taichi Razer Edition DDR5 | LGA 1700, ATX, 4 khe RAM",7699000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z790 Lightning Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z790 Lightning Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",5999000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z790 PG Lightning DDR5 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z790 PG Lightning DDR5 | LGA 1700, ATX, 4 khe RAM",4890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z790 Steel Legend Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",ASRock,"Mainboard ASRock Z790 Steel Legend Wifi DDR5 | LGA 1700, ATX, 4 khe RAM",5890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
"Mainboard ASRock Z790M PG Lightning DDR4 | LGA 1700, mATX, 4 khe RAM",ASRock,"Mainboard ASRock Z790M PG Lightning DDR4 | LGA 1700, mATX, 4 khe RAM",5099000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Mainboard
