ten_case,hang,thong_so,gia_vnd,link_hinh_anh,category
"Thùng máy Case DarkFlash DB330M M-ATX | Mặt lưới, đen",Unknown,"Thùng máy Case DarkFlash DB330M M-ATX | Mặt lưới, đen",649000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case DarkFlash DB330M M-ATX | Mặt lưới, trắng",Unknown,"Thùng máy Case DarkFlash DB330M M-ATX | Mặt lưới, trắng",689000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Darkflash DS900 Mesh ATX - Đen (Mặt lưới),Unknown,Thùng máy Case Darkflash DS900 Mesh ATX - Đen (Mặt lưới),749000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Darkflash DS900 Mesh ATX - Trắng (Mặt lưới),Unknown,Thùng máy Case Darkflash DS900 Mesh ATX - Trắng (Mặt lưới),799000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Darkflash DS900W ATX Glass - Trắng,Unknown,Thùng máy Case Darkflash DS900W ATX Glass - Trắng,949000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Darkflash DS900WD ATX - Đen (Mặt gỗ),Unknown,Thùng máy Case Darkflash DS900WD ATX - Đen (Mặt gỗ),1349000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
Thùng máy Case Darkflash DS900WD ATX - Trắng (Mặt gỗ),Unknown,Thùng máy Case Darkflash DS900WD ATX - Trắng (Mặt gỗ),1449000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy case E-Dra ECS 1305 | M-ATX, hồ cá, trắng",Unknown,"Thùng máy case E-Dra ECS 1305 | M-ATX, hồ cá, trắng",429000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Gamdias Athena M4M | M-ATX, Đen",Unknown,"Thùng máy Case Gamdias Athena M4M | M-ATX, Đen",1389000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Gamdias Athena M4M | M-ATX, Mặt Gỗ",Unknown,"Thùng máy Case Gamdias Athena M4M | M-ATX, Mặt Gỗ",1389000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Hyte Revolt 3 - Đen | Mini ITX, nguồn SFX (CS-HYTE-REVOLT3-B)",Unknown,"Thùng máy Case Hyte Revolt 3 - Đen | Mini ITX, nguồn SFX (CS-HYTE-REVOLT3-B)",2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Hyte Revolt 3 - Trắng | Mini ITX, nguồn SFX (CS-HYTE-REVOLT3-W)",Unknown,"Thùng máy Case Hyte Revolt 3 - Trắng | Mini ITX, nguồn SFX (CS-HYTE-REVOLT3-W)",2990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
"Thùng máy Case Leopard AC-01 - Đen | Hồ cá, kính cong",Unknown,"Thùng máy Case Leopard AC-01 - Đen | Hồ cá, kính cong",1049000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,Case
