ten_vga,hang,thong_so,gia_vnd,link_hinh_anh,category
"Card màn hình AMD Radeon RX 9070 XT ASUS RX 9070 Prime OC | 16GB GDDR6, 5384 SP, 650W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASUS RX 9070 Prime OC | 16GB GDDR6, 5384 SP, 650W",19890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
"Card màn hình AMD Radeon RX 9070 XT ASUS TUF Gaming OC | 16GB GDDR6, 4096 SP, 850W",AMD,"Card màn hình AMD Radeon RX 9070 XT ASUS TUF Gaming OC | 16GB GDDR6, 4096 SP, 850W",22690000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ARK RX550 4GB,AMD,Card màn hình ARK RX550 4GB,1790000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ASRock AMD Radeon™ RX 9060 XT Challenger 16GB OC,AMD,Card màn hình ASRock AMD Radeon™ RX 9060 XT Challenger 16GB OC,11590000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Asus Dual RTX 5050 8GB (Dual-Rtx5050-8G),NVIDIA,Card màn hình Asus Dual RTX 5050 8GB (Dual-Rtx5050-8G),6850000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình ASUS GT 1030 2GB GDDR5 Silent BRK (GT 1030-SL-2GB-BRK),ASUS,Card màn hình ASUS GT 1030 2GB GDDR5 Silent BRK (GT 1030-SL-2GB-BRK),2490000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Colorful iGame RTX 5080 Advanced OC 16GB-V,NVIDIA,Card màn hình Colorful iGame RTX 5080 Advanced OC 16GB-V,36990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình GIGABYTE AORUS RX 9070 XT 16G ELITE (GV-R9070XTAORUS E-16GD),AMD,Card màn hình GIGABYTE AORUS RX 9070 XT 16G ELITE (GV-R9070XTAORUS E-16GD),22990000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Gigabyte RTX 5070 12G EAGLE OC SFF,NVIDIA,Card màn hình Gigabyte RTX 5070 12G EAGLE OC SFF,19890000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
Card màn hình Gigabyte RTX 5070 12G WINDFORCE OC SFF,NVIDIA,Card màn hình Gigabyte RTX 5070 12G WINDFORCE OC SFF,19700000,https://theme.hstatic.net/200000420363/1001333448/14/appbuyxgety-icon.png?v=6362,VGA
